Protein_ID,Gene_Name,Infected_1002,Infected_1015,Infected_1004,Infected_1017,Infected_1031,Infected_1014,Infected_1042,Infected_1044,Clean_2205,Clean_2057,Clean_2078,Clean_2062,Clean_2086,Clean_2065,Clean_2044,Clean_2048,Clean_2033,Clean_2041,Clean_2060,Clean_2029,Clean_1054,Clean_2038,Clean_2072,Clean_2064,Clean_2025,Clean_2063
P02768-1,ALB,330070000,190680000,177060000,1026200000,585170000,449250000,272300000,373400000,906390000,186540000,518810000,287010000,9.09E+08,440920000,742270000,597340000,987100000,647950000,629910000,338690000,442420000,788830000,798970000,589100000,892310000,758180000
P07477,PRSS1,1400600,1112200,3036700,754910,567300,422860,2541700,2192200,522860,4151800,376570,4503100,284830,1470400,324800,546680,244940,909520,1734500,1146400,3442100,321430,986370,742870,180040,652360
P35908v2,KRT2,3351100,13982,21081,0,9871500,525380,23689,59405,0,35878,102570,378770,1047900,5748800,11677000,26843,34371,79271,4941100,0,48866,12611000,5191000,7348300,24976,4602500
O00468,AGRN,398130,2412.4,0,228440,170740,96418,19619,13033,555.12,57831,1715700,2243,0,357340,1106600,2102900,514550,610420,134460,169500,317530,1529600,6425.8,792060,189340,113230
O00533,CHL1,4715700,449650,67182,284310,1058900,1224600,56979,383130,119610,7279800,20156000,38752,47273,1394400,5475400,10835000,0,3672800,451420,585960,1627500,10181000,143860,2736100,879500,823290
O00584,RNASET2,163170,38633,9362.8,44361,97445,374990,62093,44279,142090,0,234010,35690,43991,99163,146390,168020,42277,180450,37866,0,43235,142330,35880,115040,77508,105340
O15240,VGF,5447100,343010,1035100,3536900,1923400,130150,210800,211260,0,23209,1301800,335820,20851,4310900,1053200,4667800,16073,3613200,389800,2556200,6380500,1463800,281020,4310700,319860,905690
O43166,SIPA1L1,5106800,4154500,3239900,3769600,3137000,3111700,3056100,4512100,395840,0,2101000,2685000,1654100,6436700,2827500,5210200,545140,5572200,4554900,3951000,2785900,3068100,4850700,4176000,600490,5275600
O43505,B4GAT1,529200,77022,53996,261850,265890,0,146650,88166,0,29011,680370,91547,57806,392340,560430,877790,0,578910,181390,115120,711390,562250,132890,491500,45759,815320
O75326,SEMA7A,124140,28726,413170,51266,36727,94927,508.73,14419,0,34101,1073800,0,10189,103850,201550,5614400,79306,112480,0,2746800,8435.2,217030,3805,42410,191520,37051
O94985,CLSTN1,3503700,125610,148890,705110,1238100,681220,93264,174500,91920,17030,12446000,196490,297000,1173700,2446400,6247600,27236,2790400,378250,952570,1325300,5343000,201990,1670300,1170000,648370
P00441,SOD1,1634300,694080,654660,3679200,1782700,3571500,566400,252660,3367000,339600,2973500,589080,697260,1977800,2907100,3474700,1001600,947600,633740,2178400,3050800,3250200,1415200,1383900,3233100,1476000
P00450,CP,4000700,2464800,691600,4170200,3874400,9968900,2005500,2871300,3801000,1150400,888730,1885000,11207000,5958500,4275300,2281900,3020100,10650000,5786500,1824300,1528100,1491900,4334400,4558200,1685300,4121900
P00734,F2,838030,472950,131960,1714200,846340,1325500,375630,196770,963640,307930,405330,249340,2818000,790550,619290,856480,1732500,462620,1067400,306980,618100,438240,1578100,929250,513630,1174400
P00736,C1R,436400,33949,37335,729680,403310,496930,75847,193140,94723,250100,286370,51394,298550,272410,658620,715680,192160,1626900,277260,190420,483240,615380,561020,736660,160140,521300
P00738,HP,1503700,2618900,1999800,30882000,689830,1476700,2205700,582860,5200900,455450,754790,1142200,18108000,4324300,156660,891540,65450000,3175100,2904700,6225200,1774100,304640,4532400,714810,537440,7446800
P00747,PLG,514580,276930,2650.7,2333600,1002400,727950,48612,166060,911170,60425,247570,132000,2630500,1250200,227370,623260,1296800,776210,1570000,207430,284680,373430,1448400,753330,295990,2052000
P00748,F12,103300,75584,4371.8,236560,43678,67588,13406,44060,343050,0,85198,7063.5,545170,46261,608170,142940,493850,41409,139120,203640,125770,121890,219650,159080,227570,213820
P00751,CFB,1187700,688040,650410,7478700,3141800,1989700,1296400,1306800,2463400,837680,959370,1197700,5438600,3241800,2696300,2670400,5519600,3504300,2794200,1156900,1742500,2261000,3012500,3158000,2889200,3543600
P01008,SERPINC1,323960,496620,307520,3794100,1530200,1215400,693990,590610,2573800,563780,340180,609220,2291900,940530,556900,422880,3673100,638120,2617500,542590,605930,366810,3018600,1152800,831590,1625100
P01011,SERPINA3,274280,269380,148470,747700,263680,1437700,362840,372270,978810,416010,71711,187950,1739800,349120,645890,259100,387310,983400,599210,238320,140380,122250,464790,641340,632480,607900
P01019,AGT,5165600,734430,1564500,1417100,4058300,2754500,1104800,2258000,1438400,772900,5339400,1723800,3213700,3555000,5063000,4099600,479190,5192400,2821400,1833800,2646600,3969400,1361700,4176700,3970900,4492800
P01031,C5,59122,126700,15162,103080,62663,131090,0,17163,87596,0,21171,199740,225110,8100.4,6959,10563,192270,83841,20873,0,71496,35563,96840,19281,112630,102530
P01033,TIMP1,81398,71850,21028,45399,120020,505790,42076,800.25,289400,42922,1953.8,10276,150060,73410,115890,119520,60401,2408.3,335840,106610,55598,2046.5,174930,436100,286230,164380
P01034,CST3,41663000,4140300,2431000,26375000,26044000,18165000,3113300,3014800,4877700,2111500,32286000,4880800,2424200,25931000,20864000,51723000,1554000,30778000,10480000,8156700,18744000,26018000,3842900,37968000,20451000,14643000
P01042,KNG1,1110300,358460,185890,3326300,2376200,3895900,276430,564270,4348500,476110,2125400,361640,5023900,1121500,2805100,1779500,5492100,886450,2080300,605670,935270,1600800,1977700,2295100,3662200,1828400
P01210,PENK,2158500,454370,684680,261610,2468700,0,326490,0,0,32863,901410,277980,15248,3975200,183800,5068500,27626,1714100,114380,441370,1160000,1510200,32341,5012300,226900,124550
P01834,IGKC,3043900,2878400,495030,14713000,8854500,40615000,1800600,5680100,39735000,3959600,10124000,36072000,40121000,9388800,8708500,7453900,45520000,10865000,5665800,2952200,1722300,11385000,8580200,6228400,13796000,14909000
P01857,IGHG1,10006000,6918600,2519000,16520000,5924600,128800000,6255100,13728000,35632000,5216000,17289000,3872900,84408000,9661900,2086800,18241000,29422000,25658000,5644100,8348600,2692700,16540000,9946900,4804400,4160800,28403000
P01859,IGHG2,672730,1072100,97330,511820,590260,2427700,626710,8279500,3547400,266930,1406400,614210,3491200,652320,589030,1890400,7612400,572750,145120,128200,575580,762600,1903600,563190,292330,7562700
P01860,IGHG3,1404800,1204700,374600,6266200,2454100,17939000,1482200,1899400,7915100,644410,5497200,602720,12289000,2168900,329580,2944000,10071000,1615500,804430,1459500,684920,4882400,3180200,948210,901700,6172200
P01861,IGHG4,863.86,117780,14967,1648.1,28539,3655.8,40896,522020,4473300,325720,1056500,191570,1728700,568920,372.52,114380,2056800,76496,2216.8,0,77238,1174600,100870,990.98,52909,2577100
P01871,IGHM,528460,1216700,91683,1961800,990100,3123300,118410,196940,2215000,67496,304160,40876,747620,27729,51851,81388,24430000,232130,199770,519600,11441,112500,939830,471640,1196400,468600
P01876,IGHA1,347770,2199300,175730,1670600,68875,94373,1830900,2654800,1967400,1387800,957.33,1113700,1458200,31630,0,0,5490600,132840,1161600,250150,2563400,0,3847800,25811,4038.1,2892300
P02042,HBD,729190,4575900,0,0,742220,3941100,20908,25759,251680,7920.7,3513.6,0,121500,84009,3464.3,13069,0,61088,95890,4579100,18353,0,2141500,181490,4092.2,7756
P02452,COL1A1,543460,201960,125900,683190,1476500,635370,1379400,2141300,85414,495620,303000,8274.7,175600,1181700,1298100,1210500,719910,4266800,535520,307490,325400,2638300,5814100,1967200,3599900,268670
P02549,SPTA1,25720,11035,0,5420.3,77776,360600,589.63,0,88908,1045.6,71578,0,3682.8,49528,8458.7,6219.4,85773,62834,1521.4,0,2671.3,11538,7207.1,1090,48847,17013
P02647,APOA1,9014700,6090200,2157100,42971000,41126000,23271000,7784100,7108700,24990000,2707000,10775000,2773100,40317000,19039000,21095000,11948000,32324000,16718000,24344000,18139000,6861400,14145000,33875000,22767000,31193000,33615000
P02649,APOE,10426000,593500,986220,10754000,9087500,4423800,1160400,1404500,996920,261590,10839000,495090,749120,4527200,12439000,25634000,1535900,16559000,2286800,2689300,11203000,8648400,1592600,10665000,2619800,10186000
P02652,APOA2,1145400,551190,508700,6186900,6467400,1382500,1365000,324070,2439200,328120,632580,391080,6046700,2319300,1967600,836870,6134500,472930,5107500,216420,1045400,1611700,6161100,2046300,3756400,2823700
P02671,FGA,36590,526740,146730,3920200,2856800,1965500,261430,51973,4282200,102760,987870,0,2558800,74792,1732800,648230,6140000,9594.5,199510,3316.2,39655,897440,216300,1443700,5450200,433050
P02675,FGB,212700,97789,0,1635900,728720,904200,61722,39363,918790,0,46829,7193.3,1671200,130160,2560100,227430,1891500,71565,3369.9,18936,32385,277410,47727,145650,548060,127070
P02679,FGG,28302,172940,136110,778260,1648700,827700,490360,341290,517870,89025,216640,438820,770520,19715,1427500,424020,1336600,42337,285320,62424,0,327140,302100,1052500,605750,371580
P02748,C9,78840,102740,0,1071700,304650,808550,20446,24521,1387500,243060,143790,95056,1407800,140690,127280,69321,2653900,45566,454480,0,296960,241.06,422300,260310,440360,1269400
P02749,APOH,62068,417280,85113,890430,319870,485500,364780,949870,382620,640930,89692,623300,492390,793010,411610,585340,624080,1459400,819550,227100,431980,271290,1535800,474450,411670,1248700
P02751,FN1,576940,149080,136230,1109600,484180,3343400,393480,1105800,743320,385860,1075900,150340,329920,510640,1478100,1726600,1534700,1438900,2258400,259780,1672100,1893900,3112300,1328900,1938000,1498800
P02753,RBP4,100990,113410,31894,115820,124010,152830,53982,130140,85224,1463100,116090,111510,0,116550,93584,163830,57946,51489,194680,0,165180,202250,320600,176410,138560,147630
P02760,AMBP,0,9533,0,241390,179420,1431.5,26016,132510,125550,25292,63428,1086.2,120870,171130,55320,128170,177560,190560,181050,50156,13445,81603,158000,55013,278970,365710
P02763,ORM1,2344900,6447600,1135200,6454600,6046900,6165600,14511000,9384800,10974000,6035700,1329800,2729600,23286000,7629600,5773000,4649600,10885000,9027200,10599000,4928800,3005400,1849800,11810000,11257000,12268000,18800000
P02766,TTR,12928000,20741000,6191900,8046000,9973400,57750000,13228000,60184000,19050000,25882000,4318600,15459000,18702000,45848000,10544000,7811700,2669300,129300000,9641600,11805000,6942700,6230400,15834000,13109000,4308000,11640000
P02774,GC,4666300,2086600,1233200,15189000,8753100,6753600,3230000,4046300,17958000,2006500,7472700,2566200,13560000,6381200,6295700,8189900,19238000,8263400,12506000,4257500,5418400,12714000,12159000,9841100,21339000,9111600
P02787,TF,55004000,18662000,26249000,152510000,51093000,49757000,35518000,36871000,79552000,26846000,80916000,41496000,94967000,118540000,44025000,61494000,105350000,88853000,70051000,46587000,100080000,55465000,79220000,57481000,41721000,111520000
P02790,HPX,12101000,15205000,6897400,41186000,16266000,9350500,22330000,9636300,6120400,12389000,2133800,17613000,32147000,21355000,2114600,10111000,33486000,18165000,27133000,18635000,12172000,1602000,47824000,10523000,2999800,39705000
P03952,KLKB1,0,0,0,329140,97360,46989,0,0,210500,0,14705,954.66,222870,76447,49486,35689,46450,18913,80234,0,14955,28535,53527,51891,361330,69378
P04004,VTN,133050,118170,0,6337,7729.9,167940,95585,149530,264650,37970,273010,5544.1,441460,171840,71971,170290,1718.9,51007,229020,1732.4,96725,245510,316070,220030,32153,286900
P04040,CAT,89684,94725,18554,86953,354200,741770,0,32260,74727,0,55816,0,12354,10854,78577,142530,129450,4946,17190,129270,0,197870,126050,78944,76685,100310
P04075,ALDOA,258320,783020,14279,597510,369080,2647300,158550,12921,489910,0,407060,0,452080,652480,652360,679150,391450,57324,128720,156720,175510,209890,444610,280690,170410,215860
P04196,HRG,16006,6891.4,0,157450,73298,368310,0,171830,4861.2,2530.9,2347.7,11084,283920,128740,26684,8664.6,108610,153550,152740,4030,48887,11366,95906,82446,0,236040
P04217,A1BG,144100,169420,21471,1039900,587880,2785200,450040,1490100,1735100,169530,64226,149400,1838000,677090,126530,91111,642870,1734900,476260,15309,130120,3949.2,428330,181620,1320600,690600
P04264,KRT1,30038,56395,17097,0,18767,20246,82470,78419,94453,30260,21328,32019,40320,379440,426.43,0,6565.1,107530,15261,49665,56021,17242,48025,13195,20940,67651
P04406,GAPDH,401270,1745800,42820,132450,635890,228780,1649.7,3577.6,218230,78900,248680,1159300,261050,345560,335230,407070,760380,0,74122,0,192520,264780,156310,150560,69173,102040
P05060,CHGB,8762900,733080,2269300,11477000,8630300,2227100,479290,818070,535420,108110,15861000,784090,411610,9822100,6291200,25807000,175790,8979400,2469800,2576600,12218000,10218000,1408800,13534000,4331500,8492500
P05067,APP,6157600,378210,445490,1837900,1548500,764980,108350,114550,103490,167460,18173000,676860,541860,2764500,2710300,13512000,17603,1344900,690780,711450,2584100,9890200,912380,2109600,2485400,1666000
P05109,S100A8,533.06,332480,177710,176340,21864,1298500,6000.4,15754,34099,77339,68351,31177,0,4403.5,22701,54743,613550,377000,37860,620250,0,72839,6827.1,99276,19212,0
P05155,SERPING1,265160,281450,331860,1192200,862340,969840,190660,403890,842970,253620,524510,308560,288750,203000,860380,804700,1443600,620970,594140,250860,348530,1028300,1047200,726640,1691600,679370
P05156,CFI,369270,110470,11854,638340,448980,799290,70110,117660,801130,61414,632230,76132,811250,269400,985680,478150,1243400,487350,507950,110300,217780,463540,536860,839730,848900,610850
P05408,SCG5,3891600,379620,533180,2569900,1636800,384190,290680,132340,65362,398340,5034600,632320,280110,1900100,2190900,6193000,197620,1088900,470120,692860,3053700,4094500,423190,2944100,1379300,952750
P05452,CLEC3B,505820,114690,139210,299290,87949,174250,290300,209090,184420,43153,136020,75854,55692,473110,441140,707380,391960,2374300,253750,237450,270570,436890,164910,382700,1131800,497640
P05543,SERPINA7,83066,58347,8014.6,29373,53734,433490,70109,4277.3,35624,36411,9362.4,62242,429420,255240,278520,69195,280500,26543,290960,136740,79117,29558,198640,239360,198580,260290
P05546,SERPIND1,139120,104750,0,744520,670620,570630,40119,84389,97958,47074,813360,30143,729320,203480,367630,552750,1044900,175410,222940,0,149650,603210,210400,310600,273190,242120
P06396,GSN,2367800,304150,103700,1396800,543110,1567000,263950,1109600,356060,449860,433560,313600,1405000,1272200,532360,930280,607000,2516100,606570,1180300,3501200,605210,1704800,1530600,424710,4823400
P06681,C2,110020,99882,0,336490,324200,317850,4656.4,93462,27965,0,130410,8194.8,287950,81938,588950,191820,256920,386180,232840,44943,54327,225270,150050,237440,38994,161920
P06727,APOA4,2364600,192740,401870,5052200,15869000,5874600,115960,155290,8654600,765980,2299700,1045100,5141800,3761000,6904200,3018000,2784000,1174400,3165600,620450,1297300,843160,2214900,6395900,28186000,5958000
P06733,ENO1,430970,961070,29038,311370,125860,1592600,54024,410910,162570,0,240590,307370,107240,86350,32668,163780,72047,25389,200590,87447,4115.1,31543,228150,180700,97563,133010
P07195,LDHB,113440,151810,10700,38586,106700,346710,28592,114560,192060,3849.9,195600,40702,294750,311630,392130,175560,13794,292480,255570,11472,92371,665700,48208,86829,353240,462540
P07225,PROS1,43420,73786,0,44723,63286,505590,0,55709,113510,23837,152160,34807,174450,160240,57147,94045,102200,151720,57345,3598.7,83859,130000,25069,95044,86111,87342
P07357,C8A,52592,3050.7,0,717320,273470,286840,0,5326.7,400260,0,167970,6714.5,591310,223800,117460,121980,503600,89018,168130,32331,15773,62562,266050,320080,190530,336180
P07737,PFN1,670890,157080,38739,503480,481740,2749000,10615,64531,12314,6437.6,74605,308830,83579,542280,640930,159940,711310,141410,376410,85873,98545,631770,89418,168940,193670,1359.8
P07858,CTSB,418180,117600,79494,217280,155610,1010700,134090,70447,144270,25832,398300,43346,80082,196200,702790,609750,55980,246320,36568,85108,235080,292530,119590,524400,52878,137460
P07998,RNASE1,458310,32710,72424,258290,64550,7945.6,87216,47807,19554,64387,118370,413360,0,163420,509610,111480,5503.4,1825700,39125,263080,297810,313820,309860,179860,9435.1,608100
P08185,SERPINA6,70039,4909.5,0,102080,96087,58876,26955,134700,0,0,36395,14510,167610,109480,103710,67182,54376,814330,100830,38809,3209.8,70075,94321,67252,111210,7176.6
P08294,SOD3,399850,1032100,27722,121660,83069,711110,286370,237840,228880,109630,69988,273160,693010,1101500,97548,73603,64949,374760,119220,89775,69613,108680,316310,169850,154080,417020
P08571,CD14,467320,89264,0,984130,314690,2560400,73940,216740,873210,75147,556540,56000,154930,67091,1617000,835620,519610,420910,502510,21677,577570,839230,426550,829790,977270,581010
P08603,CFH,143350,67364,36789,391790,191850,740060,110950,422700,98445,112480,161450,30628,339880,262120,147370,130800,590800,1396600,199780,142340,389680,263970,228100,373780,153180,518790
P08697,SERPINF2,213860,65203,12095,75982,96616,130640,93131,70303,266400,12738,83105,49011,322650,182450,130300,99623,0,169410,202070,21183,41594,49615,293300,307040,28647,92478
P09486,SPARC,1965400,931200,553250,443780,1436100,406050,572490,614200,277530,244830,215820,671460,421620,2447500,292210,1063400,126890,2075200,784140,897560,676310,715600,1123900,2001700,633620,994430
P09603,CSF1,0,0,35866,142810,55162,0,0,0,0,4910,0,23455,5002.9,112050,166920,222050,107390,121000,71301,940.31,212540,177990,33832,333780,5356.8,135160
P09871,C1S,248190,0,58386,330400,143460,117350,111070,130600,86086,48035,170530,70076,149950,96846,81433,206090,178560,632700,121220,100740,524310,198390,328130,236240,403800,462220
P0C0L4,C4A,7813300,2059400,883850,5602900,9790000,6356000,2310500,3487000,2545100,1699500,3923300,1851900,2684500,7201000,11241000,7053900,7051400,40037000,2737200,2244400,2909900,3638500,3352000,8991100,3779500,7555600
P0C0L5,C4B,698600,31876,17183,79037,808370,1466900,142640,172090,70641,33076,417300,61838,373980,644540,909190,120750,33390,4100400,145920,275950,53687,212600,211000,572490,55441,477780
P0DOY3,IGLC3,195800,630560,26086,790150,113120,3836200,670490,1887800,2149600,851450,411900,102870,4740100,278090,167410,574510,3925200,1215200,199170,95403,75378,350920,1156500,102260,127470,2540400
P10451,SPP1,7448700,4023000,3979800,3194000,6245300,19093000,10923000,4425000,2008600,4778900,6479900,4616300,2117700,4967200,36695000,11387000,1799200,5858600,9824200,2151400,6495600,10753000,4564600,9653200,3825700,8182400
P10643,C7,24510000,74237,34281000,1551300,986080,1170200,27883000,30904000,567710,29325000,1548800,29194000,1612500,13913000,1054500,14325000,2287000,16344000,766660,22600000,24484000,1193600,16213000,17044000,927160,2185200
